,CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location,lat,lng
3178,,04/29/2020 03:15:00 AM,20-021539,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,23X,1500 33RD AVE,Oakland,CA,"1500 33RD AVE
Oakland, CA
(37.778604, -122.224089)",37.7785275,-122.2238109
3179,DOMESTIC VIOLENCE,03/06/2020 10:35:00 PM,20-012939,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,19X,1800 EMBARCADERO,Oakland,CA,"1800 EMBARCADERO
Oakland, CA
(37.785052, -122.244329)",37.784468,-122.243495
3180,VANDALISM,02/24/2020 08:30:00 AM,20-010667,THEFT,13Y,1300 ALVARADO,Oakland,CA,"1300 ALVARADO
Oakland, CA",37.8639447,-122.2320691
3181,STOLEN VEHICLE,04/11/2020 09:00:00 PM,20-908407,ATTEMPT VEHICLE THEFT-AUTO,13Y,1400 MOUNTAIN BLVD,Oakland,CA,"1400 MOUNTAIN BLVD
Oakland, CA
(37.836453, -122.217666)",37.8365806,-122.2174133
3182,,03/19/2020 09:30:00 PM,20-015178,TRESPASS:OCCUPY PROPERTY W/O CONSENT,32Y,9900 LAWLOR ST,Oakland,CA,"9900 LAWLOR ST
Oakland, CA
(37.747489, -122.154877)",37.7473996,-122.1545705
3183,BURG - AUTO,03/09/2020 08:30:00 AM,20-906860,BURGLARY-AUTO,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.76593, -122.223338)",37.7653376,-122.2226323
3184,FORGERY & COUNTERFEITING,03/25/2020 10:10:00 AM,20-016116,OBT CREDIT/ETC:OTHER'S ID,29X,2900 68TH AV,Oakland,CA,"2900 68TH AV
Oakland, CA
(37.769939, -122.177355)",37.7698592,-122.1774258
3185,WEAPONS,03/24/2020 07:07:00 PM,20-016044,MISD-CARRY CONCEALED WEAPON ON PERSON,21X,1800 25TH AV,Oakland,CA,"1800 25TH AV
Oakland, CA
(37.784648, -122.230702)",37.7846494,-122.2300332
3186,PETTY THEFT,02/01/2020 11:00:00 AM,20-006618,THEFT,27Y,2400 62ND AV,Oakland,CA,"2400 62ND AV
Oakland, CA
(37.768585, -122.19025)",37.7685757,-122.1902465
3187,BURG - AUTO,04/14/2020 10:00:00 PM,20-908643,BURGLARY-AUTO,27X,4800 CONGRESS AV,Oakland,CA,"4800 CONGRESS AV
Oakland, CA
(37.777795, -122.203721)",37.7778924,-122.203493
3188,,03/14/2020 12:02:00 AM,20-014750,VEHICLE THEFT - AUTO,19X,1000 22ND AV,Oakland,CA,"1000 22ND AV
Oakland, CA
(37.782291, -122.240335)",37.7820072,-122.2403208
3189,WEAPONS,03/24/2020 05:51:00 PM,20-016039,VIOLATION OF PROBATION-FELONY,20X,1900 FRUITVALE AV,Oakland,CA,"1900 FRUITVALE AV
Oakland, CA
(37.783079, -122.223106)",37.7830546,-122.2227991
3190,MISDEMEANOR ASSAULT,03/25/2020 03:12:00 PM,20-016157,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,04X,600 14TH ST,Oakland,CA,"600 14TH ST
Oakland, CA
(37.805825, -122.274977)",37.8060564,-122.2748262
3191,BURG - AUTO,04/11/2020 10:00:00 PM,20-908412,BURGLARY-AUTO,07X,30TH ST & LINDEN ST,Oakland,CA,"30TH ST & LINDEN ST
Oakland, CA
(37.821517, -122.279496)",37.8215308,-122.2794916
3192,FORGERY & COUNTERFEITING,03/25/2020 11:26:00 AM,20-016130,FORGERY-FELONY,11X,5100 TELEGRAPH AV,Oakland,CA,"5100 TELEGRAPH AV
Oakland, CA
(37.837407, -122.262281)",37.837303,-122.261959
3193,FORGERY & COUNTERFEITING,04/01/2020 12:47:00 PM,20-017224,CHECK FORGERY,30Y,7000 BANCROFT AV,Oakland,CA,"7000 BANCROFT AV
Oakland, CA
(37.76692, -122.178191)",37.7679644,-122.1775485
3194,VANDALISM,04/10/2020 09:30:00 PM,20-908365,VANDALISM,12Y,300 61ST ST,Oakland,CA,"300 61ST ST
Oakland, CA
(37.84808, -122.254305)",37.8480843,-122.2543035
3195,,04/26/2020 07:45:00 PM,20-021208,VEHICLE THEFT - AUTO,28X,2600 RAWSON ST,Oakland,CA,"2600 RAWSON ST
Oakland, CA
(37.776717, -122.197792)",37.7766199,-122.1976407
3196,,03/14/2020 07:45:00 AM,20-014385,VEHICLE THEFT - AUTO,02X,1200 8TH ST,Oakland,CA,"1200 8TH ST
Oakland, CA
(37.805125, -122.289094)",37.8053319,-122.289217
3197,STOLEN VEHICLE,04/26/2020 03:35:00 AM,20-020155,VEHICLE THEFT - AUTO,30X,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)",37.7681292,-122.1761509
3198,GRAND THEFT,04/23/2020 10:00:00 PM,20-909261,THEFT,14X,100 PERKINS ST,Oakland,CA,"100 PERKINS ST
Oakland, CA
(37.815865, -122.256803)",37.8159201,-122.2567782
3199,MISDEMEANOR ASSAULT,04/02/2020 02:45:00 PM,20-017401,BATTERY,09X,4100 BROADWAY,Oakland,CA,"4100 BROADWAY
Oakland, CA
(37.828685, -122.255905)",37.8287434,-122.2556846
3200,MISDEMEANOR ASSAULT,04/03/2020 12:08:00 AM,20-017475,ASSAULT,26X,5600 OAKPORT ST,Oakland,CA,"5600 OAKPORT ST
Oakland, CA
(37.759792, -122.213786)",37.7627023,-122.2161638
3201,MISDEMEANOR ASSAULT,02/01/2020 06:00:00 PM,20-012232,BATTERY,30X,8100 BANCROFT AV,Oakland,CA,"8100 BANCROFT AV
Oakland, CA
(37.760721, -122.170888)",37.7607957,-122.1709497
3202,STOLEN VEHICLE,04/18/2020 03:00:00 PM,20-019902,VEHICLE THEFT - AUTO,17Y,1300 E 25TH ST,Oakland,CA,"1300 E 25TH ST
Oakland, CA
(37.797056, -122.237101)",37.7970523,-122.2370801
3203,RECOVERED O/S STOLEN,02/28/2020 07:59:00 AM,20-011437,FALSE ADVERTISEMENT/ETC RENTAL LISTINGS,23X,600 HIGH ST,Oakland,CA,"600 HIGH ST
Oakland, CA
(37.76763, -122.22112)",37.767434,-122.220747
3204,OTHER,03/23/2020 02:00:00 AM,20-015795,SC UNEXPLAINED DEATH,08X,200 28TH ST,Oakland,CA,"200 28TH ST
Oakland, CA
(37.815976, -122.261566)",37.815991,-122.2616302
3205,MISDEMEANOR ASSAULT,03/23/2020 12:00:00 PM,20-016029,THREAT CRIME:INT:TERRORIZE,31Z,11000 ESTEPA DR,Oakland,CA,"11000 ESTEPA DR
Oakland, CA
(37.728261, -122.174528)",37.728266,-122.1742271
3206,MISDEMEANOR ASSAULT,02/23/2020 07:30:00 PM,20-010529,VOL PROTECTIVE ORDER:MNR,10Y,900 45TH ST,Oakland,CA,"900 45TH ST
Oakland, CA
(37.834494, -122.273158)",37.8344668,-122.2730091
3207,,03/17/2020 02:00:00 PM,20-014937,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,33X,8800 D ST,Oakland,CA,"8800 D ST
Oakland, CA
(37.748801, -122.180557)",37.748821,-122.1805358
3208,HOMICIDE,02/07/2020 10:14:00 AM,20-007394,SC UNEXPLAINED DEATH,14Y,400 SANTA CLARA AV,Oakland,CA,"400 SANTA CLARA AV
Oakland, CA
(37.812852, -122.248545)",37.8128167,-122.2483283
3209,,04/04/2020 08:30:00 PM,20-018017,VEHICLE THEFT - AUTO,26Y,6200 TEVIS ST,Oakland,CA,"6200 TEVIS ST
Oakland, CA
(37.761319, -122.201052)",37.761294,-122.2010487
3210,BURG - RESIDENTIAL,02/23/2020 05:10:00 AM,20-010618,BURGLARY-FORCIBLE ENTRY,04X,200 FRANK H OGAWA PLZ,Oakland,CA,"200 FRANK H OGAWA PLZ
Oakland, CA
(37.80569, -122.271943)",37.8057664,-122.2722019
3211,,04/17/2020 07:00:00 AM,20-021732,GRAND THEFT,13X,IFO 5678 MARGARIDO DR,Oakland,CA,"IFO 5678 MARGARIDO DR
Oakland, CA",37.8415341,-122.242833
3212,PETTY THEFT,02/13/2020 06:30:00 PM,20-010477,THEFT,26Y,7200 SAN LEANDRO ST,Oakland,CA,"7200 SAN LEANDRO ST
Oakland, CA
(37.753613, -122.197109)",37.75366959999999,-122.1968898
3213,STOLEN VEHICLE,02/05/2020 03:00:00 PM,20-007514,VEHICLE THEFT - AUTO,19X,1600 FOOTHILL BLVD,Oakland,CA,"1600 FOOTHILL BLVD
Oakland, CA
(37.790008, -122.242608)",37.790021,-122.2426057
3214,GRAND THEFT,10/26/2018 09:00:00 AM,20-908513,GRAND THEFT,01X,00 WASHINGTON ST,Oakland,CA,"00 WASHINGTON ST
Oakland, CA",37.8003001,-122.275027
3215,,03/12/2020 11:30:00 AM,20-014138,VEHICLE THEFT - AUTO,20X,2900 FORD ST,Oakland,CA,"2900 FORD ST
Oakland, CA
(37.772819, -122.233542)",37.7728165,-122.2335373
3216,BURG - COMMERCIAL,04/15/2020 03:41:00 AM,20-019293,RECEIVE/ETC KNOWN STOLEN PROPERTY,04X,1800 ALICE ST,Oakland,CA,"1800 ALICE ST
Oakland, CA
(37.805619, -122.264454)",37.8050813,-122.2640607
3217,STOLEN VEHICLE,02/18/2020 11:00:00 AM,20-010813,VEHICLE THEFT - AUTO,32Y,1900 100TH AV,Oakland,CA,"1900 100TH AV
Oakland, CA
(37.744341, -122.163083)",37.7442449,-122.1630077
3218,,04/24/2020 03:10:00 PM,20-021571,BURGLARY-AUTO,19X,IFO 1521 3RD AVE,Oakland,CA,"IFO 1521 3RD AVE
Oakland, CA",37.7983447,-122.2544216
3219,BURG - COMMERCIAL,02/23/2020 11:00:00 AM,20-010524,BURGLARY-FORCIBLE ENTRY,26X,5200 E 8TH ST,Oakland,CA,"5200 E 8TH ST
Oakland, CA
(37.764695, -122.211638)",37.764568,-122.2113562
3220,HOMICIDE,03/06/2020 01:00:00 PM,20-012899,SC UNEXPLAINED DEATH,15X,400 VAN DYKE AV,Oakland,CA,"400 VAN DYKE AV
Oakland, CA
(37.801699, -122.245322)",37.8016503,-122.245406
3221,GRAND THEFT,04/15/2020 09:50:00 PM,20-908680,THEFT,27X,1400 HIGH ST,Oakland,CA,"1400 HIGH ST
Oakland, CA
(37.772646, -122.214456)",37.7723845,-122.2148116
3222,BURG - AUTO,04/17/2020 11:05:00 PM,20-908791,BURGLARY-AUTO,29X,6300 BUENA VENTURA AV,Oakland,CA,"6300 BUENA VENTURA AV
Oakland, CA
(37.777335, -122.176803)",37.7773955,-122.1766227
3223,DOMESTIC VIOLENCE,04/21/2020 10:00:00 AM,20-020230,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,17X,1800 13TH AV,Oakland,CA,"1800 13TH AV
Oakland, CA
(37.792503, -122.243504)",37.7925353,-122.2434171
3224,FELONY ASSAULT,04/05/2020 09:00:00 PM,20-017894,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,29X,3400 64TH AV PL,Oakland,CA,"3400 64TH AV PL
Oakland, CA
(37.774246, -122.178365)",37.7740991,-122.1782635
3225,VANDALISM,04/02/2020 12:00:00 AM,20-907978,VANDALISM,30Y,7600 NEY AV,Oakland,CA,"7600 NEY AV
Oakland, CA
(37.768422, -122.168785)",37.7684315,-122.1687524
3226,BURG - AUTO,03/01/2020 08:09:00 PM,20-011902,VIOLATION OF PROBATION-MISD,12X,500 46TH ST,Oakland,CA,"500 46TH ST
Oakland, CA",37.8335694,-122.2632812
3227,BURG - COMMERCIAL,02/21/2020 05:00:00 PM,20-010510,BURGLARY-FORCIBLE ENTRY,12Y,5600 TELEGRAPH AV,Oakland,CA,"5600 TELEGRAPH AV
Oakland, CA
(37.841433, -122.261658)",37.841786,-122.2616563
3228,,02/28/2020 03:27:00 AM,20-011408,VEHICLE THEFT - AUTO,23X,3900 ALAMEDA AV,Oakland,CA,"3900 ALAMEDA AV
Oakland, CA
(37.768227, -122.225001)",37.7682049,-122.226248
3229,STOLEN AND RECOVERED VEHICLE,03/30/2020 09:00:00 PM,20-017009,VEHICLE THEFT - AUTO,26Y,73RD AV & HAWLEY ST,Oakland,CA,"73RD AV & HAWLEY ST
Oakland, CA
(37.754616, -122.194296)",37.7544877,-122.1940875
3230,FELONY ASSAULT,04/04/2020 07:20:00 PM,20-908081,ASSAULT,32X,10500 BREED AV,Oakland,CA,"10500 BREED AV
Oakland, CA
(37.740417, -122.162571)",37.7405404,-122.1624311
3231,BURG - AUTO,04/05/2020 08:38:00 PM,20-908100,BURGLARY-AUTO,19X,1700 EMBARCADERO,Oakland,CA,"1700 EMBARCADERO
Oakland, CA
(37.785863, -122.24564)",37.784468,-122.243495
3232,ROBBERY,03/10/2020 12:00:00 AM,20-018554,INFLICT CRPL INJ SP/COHAB,31Y,200 TUNIS RD,Oakland,CA,"200 TUNIS RD
Oakland, CA
(37.732744, -122.19478)",37.7327489,-122.1947836
3233,VANDALISM,01/30/2020 11:15:00 PM,20-005875,VANDALISM:DAMAGE PROPERTY,30X,7800 WELD ST,Oakland,CA,"7800 WELD ST
Oakland, CA
(37.760141, -122.179376)",37.7601296,-122.1791948
3234,,03/07/2020 12:01:00 AM,20-013754,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,32X,11000 SAN LEANDRO ST,Oakland,CA,"11000 SAN LEANDRO ST
Oakland, CA
(37.732648, -122.171226)",37.7328082,-122.1711015
3235,FELONY ASSAULT,04/03/2020 02:00:00 PM,20-908011,ASSAULT,11X,6500 RAYMOND ST,Oakland,CA,"6500 RAYMOND ST
Oakland, CA
(37.850808, -122.262617)",37.8508796,-122.2624104
3236,GRAND THEFT,03/28/2020 07:02:00 PM,20-907984,THEFT,12X,4000 BROADWAY,Oakland,CA,"4000 BROADWAY
Oakland, CA
(37.827697, -122.256531)",37.827611,-122.2562828
3237,,04/29/2020 05:22:00 PM,20-909615,THEFT,08X,2600 BROADWAY,Oakland,CA,"2600 BROADWAY
Oakland, CA
(37.814845, -122.264528)",37.8148442,-122.2645305
3238,DOMESTIC VIOLENCE,04/08/2020 07:30:00 PM,20-019295,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,99X,6700 4TH AVE,Oakland,CA,"6700 4TH AVE
Oakland, CA",37.79649029999999,-122.254662
3239,DOMESTIC VIOLENCE,04/08/2020 07:30:00 PM,20-019295,EXHIBIT FIREARM,99X,6700 4TH AVE,Oakland,CA,"6700 4TH AVE
Oakland, CA",37.79649029999999,-122.254662
3240,FRAUD,02/04/2015 06:00:00 PM,20-905361,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,07X,3500 ADELINE ST,Oakland,CA,"3500 ADELINE ST
Oakland, CA
(37.826145, -122.280128)",37.8263899,-122.2797112
3241,MISCELLANEOUS TRAFFIC CRIME,04/01/2020 10:19:00 PM,20-017305,DUI ALCOHOL/DRUGS,35X,8900 MACARTHUR BLVD,Oakland,CA,"8900 MACARTHUR BLVD
Oakland, CA
(37.756311, -122.16157)",37.75638319999999,-122.1613667
3242,FORGERY & COUNTERFEITING,04/01/2020 01:34:00 PM,20-908377,FORGERY,06X,2700 SAN PABLO AV,Oakland,CA,"2700 SAN PABLO AV
Oakland, CA
(37.817896, -122.275574)",37.8180502,-122.2752471
3243,,05/01/2020 12:14:00 PM,20-021925,POSS STOLEN VEH/VES/ETC,25X,4200 BLK MACARTHUR BLVD,Oakland,CA,"4200 BLK MACARTHUR BLVD
Oakland, CA
(37.788351, -122.195705)",37.7884301,-122.1954016
3244,ROBBERY,02/22/2020 10:00:00 PM,20-010464,ROBBERY-KNIFE OR CUTTING INSTRUMENT,18X,1900 E 19TH ST,Oakland,CA,"1900 E 19TH ST
Oakland, CA
(37.789834, -122.237888)",37.7897942,-122.2378651
3245,VANDALISM,03/07/2020 10:00:00 PM,20-906862,VANDALISM,25X,4000 MACARTHUR BLVD,Oakland,CA,"4000 MACARTHUR BLVD
Oakland, CA
(37.790482, -122.19766)",37.79058089999999,-122.1975711
3246,MISDEMEANOR ASSAULT,04/04/2020 01:02:00 PM,20-017697,BATTERY,31Y,9600 EMPIRE RD,Oakland,CA,"9600 EMPIRE RD
Oakland, CA
(37.732744, -122.19478)",37.7327208,-122.1948106
3247,,03/18/2020 08:34:00 AM,20-015037,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,2300 85TH AV,Oakland,CA,"2300 85TH AV
Oakland, CA
(37.758573, -122.166796)",37.7584184,-122.1666888
3248,FRAUD,12/10/2019 01:00:00 AM,20-907538,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,09X,600 EL DORADO AV,Oakland,CA,"600 EL DORADO AV
Oakland, CA
(37.821928, -122.252297)",37.821976,-122.252298
3249,PETTY THEFT,04/14/2020 11:11:00 AM,20-019186,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,15X,200 E 18TH ST,Oakland,CA,"200 E 18TH ST
Oakland, CA
(37.800222, -122.253307)",37.8004308,-122.2534467
3250,PETTY THEFT,02/10/2020 10:00:00 AM,20-008092,THEFT,19X,1200 E 15TH ST,Oakland,CA,"1200 E 15TH ST
Oakland, CA
(37.791259, -122.247103)",37.791278,-122.2470734
3251,,10/30/2019 08:15:00 AM,20-014076,VEHICLE THEFT - AUTO,31X,7700 EDGEWATER DR,Oakland,CA,"7700 EDGEWATER DR
Oakland, CA
(37.743372, -122.204275)",37.7441232,-122.2031951
3252,BURG - AUTO,04/05/2020 07:05:00 AM,20-908288,BURGLARY-AUTO,07X,2200 WOOD ST,Oakland,CA,"2200 WOOD ST
Oakland, CA
(37.81904, -122.293247)",37.8196495,-122.2928169
3253,GRAND THEFT,03/21/2020 10:15:00 PM,20-907530,THEFT,14X,300 BELMONT ST,Oakland,CA,"300 BELMONT ST
Oakland, CA
(37.809881, -122.255689)",37.8098502,-122.2557142
3254,BURG - AUTO,03/05/2020 07:00:00 PM,20-012737,BURGLARY-AUTO,25X,3500 38TH AV,Oakland,CA,"3500 38TH AV
Oakland, CA
(37.790278, -122.198785)",37.7903047,-122.1987785
3255,,04/05/2020 08:45:00 AM,20-017804,POSSESS/ETC BURGLARY TOOLS,26Y,900 71ST AV,Oakland,CA,"900 71ST AV
Oakland, CA
(37.755667, -122.195391)",37.7556592,-122.1953892
3256,,03/11/2020 08:28:00 PM,20-013953,FIGHT/CHALLENGE IN PUBLIC PLACE,05Y,1500 CENTER ST,Oakland,CA,"1500 CENTER ST
Oakland, CA
(37.811845, -122.292602)",37.811881,-122.2925941
3257,FELONY ASSAULT,04/12/2020 12:00:00 PM,20-908404,ASSAULT,28X,4800 WALNUT ST,Oakland,CA,"4800 WALNUT ST
Oakland, CA
(37.779701, -122.199744)",37.7798174,-122.1995028
3258,BURG - OTHER,04/10/2020 10:46:00 PM,20-908390,THEFT,12X,4700 TELEGRAPH AV,Oakland,CA,"4700 TELEGRAPH AV
Oakland, CA
(37.834351, -122.263049)",37.834282,-122.262679
3259,STOLEN VEHICLE,03/06/2020 01:27:00 PM,20-012876,POSS STOLEN VEH/VES/ETC,19X,1700 E 12TH ST,Oakland,CA,"1700 E 12TH ST
Oakland, CA
(37.786892, -122.243918)",37.7868964,-122.2439267
3260,BURG - AUTO,04/08/2020 11:30:00 AM,20-908369,THEFT,17Y,1300 MACARTHUR BLVD,Oakland,CA,"1300 MACARTHUR BLVD
Oakland, CA
(37.729664, -122.138891)",37.8022549,-122.2315649
3261,ROBBERY,04/05/2020 12:05:00 AM,20-017773,ATTEMPTED ROBBERY-KNIFE,15X,500 MACARTHUR BLVD,Oakland,CA,"500 MACARTHUR BLVD
Oakland, CA
(37.817289, -122.25285)",37.8098787,-122.2478647
3262,WEAPONS,04/03/2020 03:20:00 AM,20-017490,CARRY LOADED FIREARM W/PRIOR FELONY CONVICTION,29X,2900 68TH AV,Oakland,CA,"2900 68TH AV
Oakland, CA
(37.769939, -122.177355)",37.7698592,-122.1774258
3263,VANDALISM,01/28/2020 02:00:00 PM,20-904814,VANDALISM,17X,1200 E 19TH ST,Oakland,CA,"1200 E 19TH ST
Oakland, CA
(37.793896, -122.243398)",37.793906,-122.2433935
3264,DOMESTIC VIOLENCE,03/12/2020 03:30:00 PM,20-014098,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,33X,9000 A ST,Oakland,CA,"9000 A ST
Oakland, CA
(37.74878, -122.176201)",37.7490079,-122.1763461
3265,PETTY THEFT,03/21/2020 03:00:00 PM,20-016025,THEFT,26Y,6600 LUCILLE ST,Oakland,CA,"6600 LUCILLE ST
Oakland, CA
(37.760389, -122.195697)",37.7605037,-122.1954681
3266,FELONY ASSAULT,04/03/2020 04:30:00 AM,20-017577,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,35Y,00 OAK HILL CIR,Oakland,CA,"00 OAK HILL CIR
Oakland, CA",37.7587666,-122.1427608
3267,WEAPONS,05/11/2020 04:45:00 PM,20-023509,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,21Y,2600 FRUITVALE AV,Oakland,CA,"2600 FRUITVALE AV
Oakland, CA
(37.789313, -122.220535)",37.7892596,-122.2203279
3268,BURG - AUTO,05/04/2020 07:20:00 AM,20-909736,BURGLARY-AUTO,08X,3000 BROADWAY,Oakland,CA,"3000 BROADWAY
Oakland, CA
(37.818822, -122.262056)",0.0,0.0
3269,FRAUD,03/29/2020 04:27:00 PM,20-908202,THEFT,09X,4200 MONTGOMERY ST,Oakland,CA,"4200 MONTGOMERY ST
Oakland, CA
(37.828704, -122.252347)",37.8289732,-122.2522904
3270,THREATS,03/01/2020 09:20:00 AM,20-011821,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,32Y,2100 107TH AV,Oakland,CA,"2100 107TH AV
Oakland, CA
(37.740318, -122.15847)",37.7403555,-122.1584586
3271,,05/06/2020 08:30:00 PM,20-023122,VEHICLE THEFT - AUTO,31Z,9800 BERNHARDT DR,Oakland,CA,"9800 BERNHARDT DR
Oakland, CA
(37.731954, -122.186752)",37.7320006,-122.1865558
3272,,03/12/2020 07:00:00 PM,20-014819,THEFT,08X,3400 RICHMOND BLVD,Oakland,CA,"3400 RICHMOND BLVD
Oakland, CA
(37.82049, -122.258265)",37.8202438,-122.2579667
3273,PETTY THEFT,02/09/2020 12:00:00 AM,20-010123,THEFT,21Y,3100 TEXAS ST,Oakland,CA,"3100 TEXAS ST
Oakland, CA
(37.79483, -122.21076)",37.7948334,-122.2107465
3274,VANDALISM,03/28/2020 08:00:00 AM,20-908460,VANDALISM,17Y,2200 13TH AV,Oakland,CA,"2200 13TH AV
Oakland, CA
(37.795216, -122.239694)",37.7951071,-122.2395312
3275,,03/12/2020 03:15:00 PM,20-014090,BATTERY,26X,5300 INTERNATIONAL BLVD,Oakland,CA,"5300 INTERNATIONAL BLVD
Oakland, CA
(37.767992, -122.205673)",37.768412,-122.205429
3276,BURG - AUTO,04/05/2020 12:40:00 PM,20-908093,BURGLARY-AUTO,77X,700 62ND ST,Oakland,CA,"700 62ND ST
Oakland, CA
(37.847253, -122.268745)",37.8476228,-122.2687467
3277,VANDALISM,01/29/2020 12:00:00 AM,20-904669,VANDALISM,03Y,900 CLAY ST,Oakland,CA,"900 CLAY ST
Oakland, CA
(37.801942, -122.275679)",37.8018269,-122.2757545
3278,STOLEN VEHICLE,04/09/2020 11:54:00 AM,20-015833,VEHICLE THEFT - AUTO,32X,1200 100TH AV,Oakland,CA,"1200 100TH AV
Oakland, CA
(37.741038, -122.172277)",37.7409434,-122.1724835
3279,VANDALISM,02/23/2020 06:00:00 PM,20-905357,VANDALISM,08X,3000 TELEGRAPH AV,Oakland,CA,"3000 TELEGRAPH AV
Oakland, CA
(37.819311, -122.267098)",37.8196078,-122.2663192
3280,,05/06/2020 06:29:00 AM,20-022750,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,1400 BLK SUNSHINE CT.,Oakland,CA,"1400 BLK SUNSHINE CT.
Oakland, CA
(37.7585, -122.185502)",37.7584909,-122.1854593
3281,STOLEN VEHICLE,02/27/2020 11:30:00 AM,20-011277,VEHICLE THEFT - AUTO,19X,1200 INTERNATIONAL BLVD,Oakland,CA,"1200 INTERNATIONAL BLVD
Oakland, CA
(37.790605, -122.248033)",37.7906833,-122.2478372
3282,STOLEN VEHICLE,03/24/2020 01:10:00 PM,20-015987,VEHICLE THEFT - AUTO,30Y,8000 IRIS ST,Oakland,CA,"8000 IRIS ST
Oakland, CA
(37.763032, -122.167846)",37.7631326,-122.1676201
3283,PETTY THEFT,02/24/2020 11:00:00 AM,20-011006,THEFT,33X,9700 E ST,Oakland,CA,"9700 E ST
Oakland, CA
(37.742139, -122.177029)",37.7422839,-122.1768001
3284,GRAND THEFT,04/05/2020 04:55:00 PM,20-908104,GRAND THEFT,20X,2800 CHAPMAN ST,Oakland,CA,"2800 CHAPMAN ST
Oakland, CA
(37.774687, -122.236124)",37.7747492,-122.2361067
3285,FORGERY & COUNTERFEITING,04/05/2020 01:00:00 AM,20-908092,MAIL/ETC THEFT/ETC,35Y,11200 KERRIGAN DR,Oakland,CA,"11200 KERRIGAN DR
Oakland, CA
(37.745619, -122.133188)",37.7455825,-122.1329775
3286,BURG - AUTO,04/04/2020 09:40:00 AM,20-908067,BURGLARY-AUTO,19X,1100 E 15TH ST,Oakland,CA,"1100 E 15TH ST
Oakland, CA
(37.791994, -122.247935)",37.792008,-122.2479123
3287,FELONY ASSAULT,02/25/2020 10:30:00 PM,20-010778,ASSAULT WITH FIREARM ON PERSON,19X,1400 14TH AV,Oakland,CA,"1400 14TH AV
Oakland, CA
(37.789682, -122.245771)",37.7894662,-122.2455099
3288,,03/10/2020 08:33:00 PM,20-013730,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,2500 INYO AV,Oakland,CA,"2500 INYO AV
Oakland, CA
(37.791355, -122.22767)",37.7913401,-122.227518
3289,FRAUD,10/25/2019 03:55:00 PM,20-907985,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,22X,3900 OAKMORE RD,Oakland,CA,"3900 OAKMORE RD
Oakland, CA
(37.807098, -122.214991)",37.8068653,-122.2149308
3290,VANDALISM,03/03/2020 10:00:00 PM,20-907045,VANDALISM,12Y,500 FOREST ST,Oakland,CA,"500 FOREST ST
Oakland, CA
(37.844213, -122.255243)",37.8442187,-122.2552153
3291,ROBBERY,02/23/2020 10:15:00 PM,20-010550,EXHIBIT DEADLY WEAPON:SERIOUS BODILY INJURY INTENT,15X,1800 3RD AV,Oakland,CA,"1800 3RD AV
Oakland, CA
(37.799888, -122.251525)",37.7997358,-122.2518669
3292,BURG - COMMERCIAL,01/31/2020 12:00:00 AM,20-011121,VANDALISM-$400+,03X,300 13TH ST,Oakland,CA,"300 13TH ST
Oakland, CA
(37.80223, -122.268037)",37.8024486,-122.2680712
3293,GRAND THEFT,03/04/2020 01:05:00 PM,20-906865,GRAND THEFT,07X,2700 MANDELA PKWY,Oakland,CA,"2700 MANDELA PKWY
Oakland, CA
(37.821217, -122.288892)",37.8211489,-122.2886927
3294,BURG - OTHER,04/27/2020 03:00:00 AM,20-021184,BURGLARY-FORCIBLE ENTRY,31X,7700 EDGEWATER DR,Oakland,CA,"7700 EDGEWATER DR
Oakland, CA
(37.743372, -122.204275)",37.7441232,-122.2031951
3295,RECOVERED O/S STOLEN,02/28/2020 07:59:00 AM,20-011437,POSSESS/ETC BURGLARY TOOLS,23X,600 HIGH ST,Oakland,CA,"600 HIGH ST
Oakland, CA
(37.76763, -122.22112)",37.767434,-122.220747
