CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,04/10/2020 04:45:00 AM,20-018539,VANDALISM,04X,600 W GRAND AV,Oakland,CA,"600 W GRAND AV
Oakland, CA
(37.812425, -122.271619)"
BURG - AUTO,02/03/2020 08:15:00 PM,20-903999,BURGLARY-AUTO,12X,400 49TH ST,Oakland,CA,"400 49TH ST
Oakland, CA
(37.835331, -122.258874)"
STOLEN VEHICLE,04/07/2020 03:00:00 PM,20-018161,VEHICLE THEFT - AUTO,29X,5500 FLEMING AV,Oakland,CA,"5500 FLEMING AV
Oakland, CA
(37.774933, -122.191734)"
,05/06/2020 07:20:00 AM,20-022719,VEHICLE THEFT - AUTO,13X,200 CLIFTON ST,Oakland,CA,"200 CLIFTON ST
Oakland, CA
(37.836349, -122.249473)"
THREATS,04/06/2020 12:06:00 PM,20-017960,THREAT CRIME:INT:TERRORIZE,21Y,3000 FOOTHILL BLVD,Oakland,CA,"3000 FOOTHILL BLVD
Oakland, CA
(37.784034, -122.22366)"
,05/04/2020 06:00:00 PM,20-022605,VEHICLE THEFT - AUTO,17X,1200 E 18TH ST,Oakland,CA,"1200 E 18TH ST
Oakland, CA
(37.79323, -122.244327)"
MISDEMEANOR ASSAULT,04/06/2020 12:10:00 PM,20-017964,TRESPASS:OCCUPY PROPERTY W/O CONSENT,26X,HIGH ST & INTERNATIONAL BLVD,Oakland,CA,"HIGH ST & INTERNATIONAL BLVD
Oakland, CA
(37.772377, -122.214811)"
,05/05/2020 12:00:00 AM,20-022701,THEFT,35Y,3900 TURNLEY AV,Oakland,CA,"3900 TURNLEY AV
Oakland, CA
(37.760401, -122.146)"
,05/13/2020 07:32:00 PM,20-023949,VEHICLE THEFT - AUTO,22Y,3200 MACARTHUR BLVD,Oakland,CA,"3200 MACARTHUR BLVD
Oakland, CA
(37.796004, -122.203106)"
FRAUD,04/22/2020 12:00:00 PM,20-908959,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,25Y,8100 PHAETON DR,Oakland,CA,"8100 PHAETON DR
Oakland, CA
(37.771387, -122.137973)"
STOLEN VEHICLE,04/01/2020 07:00:00 PM,20-017683,VEHICLE THEFT - AUTO,18Y,2000 E 22ND ST,Oakland,CA,"2000 E 22ND ST
Oakland, CA
(37.791626, -122.234416)"
WEAPONS,03/06/2020 06:32:00 PM,20-012912,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,06X,600 37TH ST,Oakland,CA,"600 37TH ST
Oakland, CA
(37.8262, -122.268674)"
GRAND THEFT,04/15/2020 05:00:00 AM,20-909023,MAIL/ETC THEFT/ETC,01X,300 2ND ST,Oakland,CA,"300 2ND ST
Oakland, CA
(37.794698, -122.272877)"
FELONY ASSAULT,04/08/2020 12:12:00 PM,20-018301,POSTRELEASE COMMUNITY SUPERVISION,26Y,6500 FENHAM ST,Oakland,CA,"6500 FENHAM ST
Oakland, CA
(37.76021, -122.198137)"
STOLEN VEHICLE,04/04/2020 08:00:00 PM,20-017820,VEHICLE THEFT - AUTO,26Y,8000 RUDSDALE ST,Oakland,CA,"8000 RUDSDALE ST
Oakland, CA
(37.753743, -122.185483)"
FORGERY & COUNTERFEITING,04/22/2020 12:30:00 PM,20-908972,MAIL/ETC THEFT/ETC,22X,3900 LINCOLN AV,Oakland,CA,"3900 LINCOLN AV
Oakland, CA
(37.803508, -122.210289)"
ROBBERY,02/29/2020 07:15:00 AM,20-011657,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,800 FRANKLIN ST,Oakland,CA,"800 FRANKLIN ST
Oakland, CA
(37.799853, -122.272477)"
VANDALISM,04/22/2020 12:10:00 AM,20-908955,VANDALISM,02X,1100 12TH ST,Oakland,CA,"1100 12TH ST
Oakland, CA
(37.807907, -122.2858)"
,02/26/2020 08:40:00 AM,20-014574,THREAT CRIME:INT:TERRORIZE,30X,7400 WELD ST,Oakland,CA,"7400 WELD ST
Oakland, CA
(37.762025, -122.181311)"
DOMESTIC VIOLENCE,04/10/2020 09:23:00 AM,20-018558,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,31Y,500 85TH AV,Oakland,CA,"500 85TH AV
Oakland, CA
(37.740242, -122.192442)"
,05/05/2020 07:20:00 PM,20-022640,HAVE FIREARM AT PUBLIC/ETC SCHOOL,30X,7900 NEY AVE,Oakland,CA,"7900 NEY AVE
Oakland, CA
(37.765949, -122.165781)"
BURG - AUTO,02/04/2020 01:00:00 PM,20-904056,BURGLARY-AUTO,17X,1900 PARK BLVD,Oakland,CA,"1900 PARK BLVD
Oakland, CA
(37.800036, -122.249631)"
STOLEN VEHICLE,02/02/2020 09:00:00 PM,20-006659,VEHICLE THEFT - AUTO,22X,3500 DIMOND AV,Oakland,CA,"3500 DIMOND AV
Oakland, CA
(37.801005, -122.217148)"
,04/09/2020 12:30:00 AM,20-022682,ATTEMPT VEHICLE THEFT-AUTO,23X,3800 12TH ST,Oakland,CA,"3800 12TH ST
Oakland, CA"
THREATS,04/06/2020 12:06:00 PM,20-017960,VANDALISM,21Y,3000 FOOTHILL BLVD,Oakland,CA,"3000 FOOTHILL BLVD
Oakland, CA
(37.784034, -122.22366)"
,05/05/2020 11:36:00 PM,20-022678,BURGLARY-AUTO,02X,300 BRUSH ST.,Oakland,CA,"300 BRUSH ST.
Oakland, CA
(37.799557, -122.283058)"
GRAND THEFT,02/27/2020 12:00:00 AM,20-018426,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,07X,800 W GRAND AV,Oakland,CA,"800 W GRAND AV
Oakland, CA
(37.813584, -122.276142)"
STOLEN VEHICLE,04/08/2020 08:30:00 PM,20-018570,VEHICLE THEFT - AUTO,30X,7300 WELD ST,Oakland,CA,"7300 WELD ST
Oakland, CA
(37.762546, -122.181863)"
,05/05/2020 04:00:00 PM,20-022659,TRESPASS:OCCUPY PROPERTY W/O CONSENT,15X,400 HANOVER AVE,Oakland,CA,"400 HANOVER AVE
Oakland, CA
(37.803112, -122.249025)"
MISDEMEANOR ASSAULT,04/04/2020 03:51:00 AM,20-017645,BATTERY,06X,2400 MARTIN LUTHER KING JR W,Oakland,CA,"2400 MARTIN LUTHER KING JR W
Oakland, CA"
BURG - AUTO,02/20/2020 07:12:00 PM,20-905369,BURGLARY-AUTO,12Y,5800 BIRCH CT,Oakland,CA,"5800 BIRCH CT
Oakland, CA
(37.845963, -122.251931)"
MISDEMEANOR ASSAULT,04/22/2020 06:53:00 PM,20-909002,ASSAULT,19X,1400 16TH AV,Oakland,CA,"1400 16TH AV
Oakland, CA
(37.788674, -122.243866)"
,05/06/2020 06:24:00 AM,20-022709,VEHICLE THEFT - AUTO,26X,500 INDEPENDENT RD.,Oakland,CA,"500 INDEPENDENT RD.
Oakland, CA
(37.755159, -122.208286)"
BURG - RESIDENTIAL,04/23/2020 04:20:00 AM,20-908995,BURGLARY-FORCIBLE ENTRY,29X,6900 LACEY AV,Oakland,CA,"6900 LACEY AV
Oakland, CA
(37.771611, -122.174045)"
,05/06/2020 01:53:00 AM,20-022695,ASSAULT WITH FIREARM ON PERSON,29X,66TH AVE / MACARTHUR BLVD,Oakland,CA,"66TH AVE / MACARTHUR BLVD
Oakland, CA"
GRAND THEFT,12/21/2019 07:30:00 PM,20-005806,GRAND THEFT:FIREARM/ANIMAL/ETC,35Y,11700 CRANFORD WY,Oakland,CA,"11700 CRANFORD WY
Oakland, CA
(37.736334, -122.132274)"
STOLEN VEHICLE,04/03/2020 06:00:00 PM,20-017940,VEHICLE THEFT - AUTO,10X,6000 MARKET ST,Oakland,CA,"6000 MARKET ST
Oakland, CA
(37.844652, -122.275283)"
STOLEN VEHICLE,04/03/2020 05:30:00 PM,20-017706,VEHICLE THEFT - AUTO,04X,600 14TH ST,Oakland,CA,"600 14TH ST
Oakland, CA
(37.805825, -122.274977)"
ARSON,04/06/2020 08:00:00 AM,20-018177,ARSON CAUSING GREAT BODILY INJURY,31Y,10200 EDES AV,Oakland,CA,"10200 EDES AV
Oakland, CA
(37.734612, -122.17983)"
DOMESTIC VIOLENCE,04/10/2020 12:10:00 AM,20-018522,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,21X,2300 26TH AV,Oakland,CA,"2300 26TH AV
Oakland, CA
(37.788119, -122.225683)"
ROBBERY,04/03/2020 04:00:00 AM,20-017679,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,08X,3500 TELEGRAPH AV,Oakland,CA,"3500 TELEGRAPH AV
Oakland, CA
(37.823856, -122.265869)"
STOLEN VEHICLE,04/06/2020 02:00:00 AM,20-017954,VEHICLE THEFT - AUTO,32X,9800 C ST,Oakland,CA,"9800 C ST
Oakland, CA
(37.742298, -122.174746)"
BURG - AUTO,04/23/2020 09:45:00 AM,20-909017,BURGLARY-AUTO,23X,1200 42ND AV,Oakland,CA,"1200 42ND AV
Oakland, CA
(37.77197, -122.217222)"
FELONY ASSAULT,04/08/2020 12:12:00 PM,20-018301,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC,26Y,6500 FENHAM ST,Oakland,CA,"6500 FENHAM ST
Oakland, CA
(37.76021, -122.198137)"
BURG - COMMERCIAL,01/31/2020 03:49:00 AM,20-005946,BURGLARY-FORCIBLE ENTRY,03X,300 9TH ST,Oakland,CA,"300 9TH ST
Oakland, CA
(37.799419, -122.269606)"
STOLEN VEHICLE,03/21/2020 05:00:00 PM,20-017806,VEHICLE THEFT - AUTO,13Z,1900 ARROWHEAD DR,Oakland,CA,"1900 ARROWHEAD DR
Oakland, CA
(37.837869, -122.192887)"
STOLEN VEHICLE,04/04/2020 09:00:00 PM,20-017848,VEHICLE THEFT - AUTO,32Y,9800 BURR ST,Oakland,CA,"9800 BURR ST
Oakland, CA
(37.750923, -122.155758)"
MISDEMEANOR ASSAULT,05/05/2020 06:40:00 PM,20-022643,BATTERY,26X,700 HIGH ST,Oakland,CA,"700 HIGH ST
Oakland, CA
(37.768508, -122.219938)"
MISDEMEANOR ASSAULT,04/09/2020 11:30:00 PM,20-018518,BATTERY,32Y,10500 FOOTHILL BLVD,Oakland,CA,"10500 FOOTHILL BLVD
Oakland, CA
(37.745034, -122.150159)"
STOLEN VEHICLE,12/01/2019 12:00:00 AM,20-017992,VEHICLE THEFT - OTHER VEHICLES,12X,4000 BROADWAY,Oakland,CA,"4000 BROADWAY
Oakland, CA
(37.827697, -122.256531)"
THREATS,04/10/2020 01:02:00 AM,20-018525,THREAT CRIME:INT:TERRORIZE,03X,00 10TH ST,Oakland,CA,"00 10TH ST
Oakland, CA"
,05/06/2020 09:19:00 PM,20-022842,BATTERY,04X,1400 HARRISON ST,Oakland,CA,"1400 HARRISON ST
Oakland, CA
(37.80292, -122.267606)"
VANDALISM,04/22/2020 01:50:00 PM,20-908977,VANDALISM,04X,100 17TH ST,Oakland,CA,"100 17TH ST
Oakland, CA
(37.803698, -122.261185)"
DOMESTIC VIOLENCE,04/10/2020 09:23:00 AM,20-018558,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",31Y,500 85TH AV,Oakland,CA,"500 85TH AV
Oakland, CA
(37.740242, -122.192442)"
,05/05/2020 06:59:00 PM,20-022567,MISD-CARRY LOADED HANDGUN: NOT REGISTERED OWNER,22X,3200 DELAWARE ST,Oakland,CA,"3200 DELAWARE ST
Oakland, CA
(37.794183, -122.204536)"
BURG - AUTO,01/22/2020 05:40:00 PM,20-904577,BURGLARY-AUTO,14X,400 BELLEVUE AV,Oakland,CA,"400 BELLEVUE AV
Oakland, CA
(37.810562, -122.252517)"
GRAND THEFT,03/08/2020 10:47:00 AM,20-013187,POSSESS NARCOTIC CONTROLLED SUBSTANCE,27Y,5000 INTERNATIONAL BLVD,Oakland,CA,"5000 INTERNATIONAL BLVD
Oakland, CA
(37.769376, -122.20841)"
RECOVERED O/S STOLEN,04/07/2020 01:27:00 PM,20-018142,VEHICLE THEFT - AUTO,11X,5400 SHATTUCK AV,Oakland,CA,"5400 SHATTUCK AV
Oakland, CA
(37.839264, -122.264366)"
VANDALISM,10/15/2019 01:00:00 AM,20-908989,VANDALISM,29X,3100 73RD AV,Oakland,CA,"3100 73RD AV
Oakland, CA
(37.772696, -122.168907)"
MISDEMEANOR ASSAULT,04/06/2020 12:10:00 PM,20-017964,DISTURB THE PEACE,26X,HIGH ST & INTERNATIONAL BLVD,Oakland,CA,"HIGH ST & INTERNATIONAL BLVD
Oakland, CA
(37.772377, -122.214811)"
,05/05/2020 09:57:00 PM,20-022662,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,26Y,7000 HAMILTON ST,Oakland,CA,"7000 HAMILTON ST
Oakland, CA
(37.758279, -122.192158)"
DOMESTIC VIOLENCE,02/15/2020 11:16:00 PM,20-009067,INFLICT CRPL INJ SP/COHAB,31Z,400 105TH AV,Oakland,CA,"400 105TH AV
Oakland, CA
(37.729393, -122.180566)"
STOLEN VEHICLE,04/03/2020 04:00:00 PM,20-017700,VEHICLE THEFT - AUTO,18X,2200 FOOTHILL BLVD,Oakland,CA,"2200 FOOTHILL BLVD
Oakland, CA
(37.786235, -122.236303)"
,03/08/2020 03:28:00 AM,20-013152,SC DISTURBANCE,02X,7TH ST & MARKET ST,Oakland,CA,"7TH ST & MARKET ST
Oakland, CA
(37.802679, -122.282818)"
VANDALISM,02/25/2020 01:53:00 PM,20-011094,VANDALISM,30X,8000 PLYMOUTH ST,Oakland,CA,"8000 PLYMOUTH ST
Oakland, CA
(37.758952, -122.176811)"
BURG - AUTO,02/06/2020 02:33:00 PM,20-904098,BURGLARY-AUTO,25X,4000 MACARTHUR BLVD,Oakland,CA,"4000 MACARTHUR BLVD
Oakland, CA
(37.790482, -122.19766)"
FORGERY & COUNTERFEITING,01/31/2020 10:06:00 AM,20-905540,THEFT BY USE OF ACCESS CARD,29X,4000 EDWARDS AV,Oakland,CA,"4000 EDWARDS AV
Oakland, CA
(37.775241, -122.165915)"
,02/05/2020 11:49:00 AM,20-007019,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,26Y,1100 71ST AV,Oakland,CA,"1100 71ST AV
Oakland, CA
(37.757963, -122.191835)"
STOLEN VEHICLE,02/14/2020 09:00:00 PM,20-009019,VEHICLE THEFT - AUTO,33X,1300 81ST AV,Oakland,CA,"1300 81ST AV
Oakland, CA
(37.754578, -122.182975)"
FRAUD,01/15/2020 09:00:00 AM,20-904505,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,27Y,5300 PRINCETON ST,Oakland,CA,"5300 PRINCETON ST
Oakland, CA
(37.770918, -122.203017)"
STOLEN AND RECOVERED VEHICLE,02/21/2020 09:42:00 AM,20-010098,VIOLATION OF PROBATION-MISD,19X,1600 SOLANO WY,Oakland,CA,"1600 SOLANO WY
Oakland, CA
(37.787789, -122.244366)"
BURG - AUTO,03/09/2020 09:34:00 AM,20-906864,BURGLARY-AUTO,31X,400 HEGENBERGER RD,Oakland,CA,"400 HEGENBERGER RD
Oakland, CA
(37.735772, -122.197083)"
,03/06/2020 06:10:00 AM,20-013752,ROBBERY-FIREARM,27X,2100 47TH AV,Oakland,CA,"2100 47TH AV
Oakland, CA
(37.775219, -122.20688)"
GRAND THEFT,01/04/2020 03:00:00 AM,20-904386,GRAND THEFT,12X,4000 OPAL ST,Oakland,CA,"4000 OPAL ST
Oakland, CA
(37.828305, -122.258754)"
BURG - AUTO,02/10/2020 10:45:00 PM,20-904610,BURGLARY-AUTO,22Y,4900 HEDGE LN,Oakland,CA,"4900 HEDGE LN
Oakland, CA
(37.809938, -122.194837)"
WEAPONS,02/03/2020 02:16:00 PM,20-006614,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,99X,2300 SANTA CLARA AV,Oakland,CA,"2300 SANTA CLARA AV
Oakland, CA"
MISDEMEANOR ASSAULT,01/30/2020 03:50:00 PM,20-005805,BATTERY,18X,1800 E 19TH ST,Oakland,CA,"1800 E 19TH ST
Oakland, CA
(37.79044, -122.238917)"
PETTY THEFT,01/26/2020 11:05:00 AM,20-904485,THEFT,19X,1700 EMBARCADERO COVE,Oakland,CA,"1700 EMBARCADERO COVE
Oakland, CA"
BURG - COMMERCIAL,01/29/2020 03:10:00 AM,20-006018,BURGLARY-NO FORCE,20X,2300 E 12TH ST,Oakland,CA,"2300 E 12TH ST
Oakland, CA
(37.782624, -122.236682)"
BURG - AUTO,02/04/2020 10:00:00 PM,20-904043,BURGLARY-AUTO,26Y,900 69TH AV,Oakland,CA,"900 69TH AV
Oakland, CA
(37.756802, -122.196345)"
MISDEMEANOR ASSAULT,01/30/2020 07:40:00 PM,20-005839,BATTERY,05X,2100 CURTIS ST,Oakland,CA,"2100 CURTIS ST
Oakland, CA
(37.812906, -122.277638)"
OTHER,02/15/2020 12:00:00 PM,20-906434,MAIL/ETC THEFT/ETC,22Y,3300 WISCONSIN ST,Oakland,CA,"3300 WISCONSIN ST
Oakland, CA
(37.799068, -122.197393)"
STOLEN VEHICLE,02/19/2020 03:00:00 PM,20-009893,VEHICLE THEFT - AUTO,03X,800 MADISON ST,Oakland,CA,"800 MADISON ST
Oakland, CA
(37.797394, -122.266637)"
